,latitude,longitude
77,-27.134775,-48.605329
78,-27.134777,-48.60533
79,-27.134779,-48.605332
80,-27.134781,-48.605333
81,-27.134783,-48.605334
82,-27.134785,-48.605335
83,-27.134788,-48.605336
84,-27.13479,-48.605337
85,-27.134792,-48.605338
86,-27.134794,-48.605339
87,-27.134796,-48.60534
88,-27.134798,-48.605341
89,-27.1348,-48.605342
90,-27.134805,-48.605389
91,-27.134807,-48.60539
92,-27.134808,-48.605392
93,-27.13481,-48.605393
94,-27.134812,-48.605394
95,-27.134814,-48.605397
96,-27.134816,-48.605398
97,-27.134818,-48.6054
98,-27.13482,-48.605401
99,-27.134822,-48.605403
100,-27.134824,-48.605404
101,-27.134827,-48.605406
102,-27.134828,-48.605408
103,-27.13483,-48.605409
104,-27.134832,-48.60541
105,-27.134834,-48.605412
106,-27.134837,-48.605414
107,-27.134839,-48.605415
108,-27.134841,-48.605417
109,-27.134843,-48.605418
110,-27.134845,-48.605419
111,-27.134847,-48.605421
112,-27.134849,-48.605422
113,-27.134851,-48.605423
114,-27.134853,-48.605424
115,-27.134855,-48.605426
116,-27.134857,-48.605427
117,-27.134859,-48.605428
118,-27.134861,-48.605429
119,-27.134864,-48.605431
120,-27.134866,-48.605432
121,-27.134868,-48.605433
122,-27.134871,-48.605435
123,-27.134856,-48.605462
124,-27.134858,-48.605463
125,-27.134859,-48.605465
126,-27.134861,-48.605466
127,-27.134863,-48.605467
128,-27.134864,-48.605469
129,-27.134866,-48.60547
130,-27.134868,-48.605472
131,-27.13487,-48.605474
132,-27.134872,-48.605475
133,-27.134874,-48.605477
134,-27.134876,-48.605479
135,-27.134878,-48.60548
136,-27.13488,-48.605481
137,-27.134881,-48.605483
138,-27.134883,-48.605484
139,-27.134885,-48.605486
140,-27.134888,-48.605488
141,-27.13489,-48.605489
142,-27.134893,-48.605492
143,-27.134895,-48.605493
144,-27.134898,-48.605495
145,-27.134899,-48.605497
146,-27.134902,-48.605498
147,-27.134904,-48.6055
148,-27.134907,-48.605502
149,-27.134909,-48.605503
150,-27.134912,-48.605505
151,-27.134915,-48.605508
152,-27.134918,-48.60551
153,-27.134922,-48.605513
154,-27.134922,-48.605553
155,-27.134924,-48.605555
156,-27.134926,-48.605558
157,-27.134928,-48.60556
158,-27.13493,-48.605561
159,-27.134932,-48.605564
160,-27.134934,-48.605566
161,-27.134937,-48.605569
162,-27.134938,-48.605571
163,-27.13494,-48.605572
164,-27.134942,-48.605575
165,-27.134945,-48.605578
166,-27.134947,-48.60558
167,-27.134949,-48.605582
168,-27.13495,-48.605584
169,-27.134952,-48.605585
170,-27.134953,-48.605587
